date,avg_petrol,avg_diesel
01-01-2010,50.89,40.04
01-02-2010,50.35,37.31
01-03-2010,50.89,40.04
01-04-2010,50.89,40.04
01-05-2010,51.44,40.5
01-06-2010,54.37,42.24
01-07-2010,54.45,42.32
01-08-2010,54.55,39.88
01-09-2010,54.77,39.98
01-10-2010,55.47,39.89
01-11-2010,55.78,39.89
01-12-2010,59.08,39.89
01-01-2011,61.66,39.89
01-02-2011,61.66,39.89
01-03-2011,61.38,39.89
01-04-2011,61.38,39.89
01-05-2011,66.49,43.18
01-06-2011,66.79,43.38
01-07-2011,66.79,43.38
01-08-2011,70.07,47.16
01-09-2011,70.07,47.16
01-10-2011,71.95,48.18
01-11-2011,69.62,47.68
01-12-2011,68.82,47.18
01-01-2012,68.82,47.18
01-02-2012,68.82,47.18
01-03-2012,68.82,47.18
01-04-2012,68.82,47.18
01-05-2012,71.76,49.3
01-06-2012,71.76,49.3
01-07-2012,71.76,49.3
01-08-2012,71.76,49.3
01-09-2012,71.76,49.3
01-10-2012,71.76,49.3
01-11-2012,71.76,49.3
01-12-2012,71.76,49.3
01-01-2013,71.76,49.3
01-02-2013,71.76,49.3
01-03-2013,69.26,50.23
01-04-2013,69.26,50.23
01-05-2013,69.26,50.23
01-06-2013,69.26,50.23
01-07-2013,69.26,50.23
01-08-2013,69.26,50.23
01-09-2013,69.26,50.23
01-10-2013,69.26,50.23
01-11-2013,69.26,50.23
01-12-2013,69.26,50.23
01-01-2014,69.79,61.73
01-02-2014,69.79,61.73
01-03-2014,69.79,61.73
01-04-2014,69.79,61.73
01-05-2014,74.74,61.73
01-06-2014,74.74,61.73
01-07-2014,74.74,61.73
01-08-2014,74.74,61.73
01-09-2014,75.75,58.26
01-10-2014,75.75,55.81
01-11-2014,75.75,55.81
01-12-2014,75.75,55.81
01-01-2015,75.75,55.81
01-02-2015,75.75,55.81
01-03-2015,63.76,50.84
01-04-2015,63.76,50.84
01-05-2015,63.76,50.84
01-06-2015,63.76,50.84
01-07-2015,63.76,50.84
01-08-2015,63.76,50.84
01-09-2015,63.76,50.84
01-10-2015,63.76,50.84
01-11-2015,63.76,50.84
01-12-2015,63.76,50.84
01-01-2016,63.76,50.84
01-02-2016,63.76,50.84
01-03-2016,67.74,53.34
01-04-2016,67.74,53.34
01-05-2016,67.74,53.34
01-06-2016,67.74,53.34
01-07-2016,67.74,53.34
01-08-2016,67.74,53.34
01-09-2016,67.74,53.34
01-10-2016,67.74,53.34
01-11-2016,67.74,53.34
01-12-2016,67.74,53.34
01-01-2017,73.66,57.34
01-02-2017,73.66,57.34
01-03-2017,73.66,57.34
01-04-2017,73.66,57.34
01-05-2017,73.66,57.34
01-06-2017,73.66,57.34
01-07-2017,73.66,57.34
01-08-2017,73.66,57.34
01-09-2017,73.66,57.34
01-10-2017,73.66,57.34
01-11-2017,73.66,57.34
01-12-2017,73.66,57.34
01-01-2018,77.7,64.09
01-02-2018,77.7,64.09
01-03-2018,77.7,64.09
01-04-2018,77.7,64.09
01-05-2018,81.7,67.3
01-06-2018,81.7,67.3
01-07-2018,81.7,67.3
01-08-2018,81.7,67.3
01-09-2018,86.11,72.0
01-10-2018,82.1,69.0
01-11-2018,80.94,68.0
01-12-2018,80.94,68.0
01-01-2019,77.63,66.3
01-02-2019,77.63,66.3
01-03-2019,77.63,66.3
01-04-2019,77.63,66.3
01-05-2019,77.63,66.3
01-06-2019,77.63,66.3
01-07-2019,77.63,66.3
01-08-2019,77.63,66.3
01-09-2019,77.63,66.3
01-10-2019,77.63,66.3
01-11-2019,77.63,66.3
01-12-2019,77.63,66.3
01-01-2020,77.63,66.3
01-02-2020,77.63,66.3
01-03-2020,72.0,63.96
01-04-2020,72.0,63.96
01-05-2020,72.0,63.96
01-06-2020,84.55,72.04
01-07-2020,84.55,72.04
01-08-2020,84.55,72.04
01-09-2020,84.55,72.04
01-10-2020,84.55,72.04
01-11-2020,84.55,72.04
01-12-2020,84.55,72.04
01-01-2021,84.55,72.04
01-02-2021,84.55,72.04
01-03-2021,100.34,88.04
01-04-2021,100.34,88.04
01-05-2021,100.34,88.04
01-06-2021,100.34,88.04
01-07-2021,100.34,88.04
01-08-2021,100.34,88.04
01-09-2021,100.34,88.04
01-10-2021,100.34,88.04
01-11-2021,100.34,88.04
01-12-2021,100.34,88.04
01-01-2022,100.26,88.04
01-02-2022,100.26,88.04
01-03-2022,100.26,88.04
01-04-2022,100.26,88.04
01-05-2022,100.26,88.04
01-06-2022,100.26,88.04
01-07-2022,100.26,88.04
01-08-2022,100.26,88.04
01-09-2022,100.26,88.04
01-10-2022,100.26,88.04
01-11-2022,100.26,88.04
01-12-2022,100.26,88.04
01-01-2023,103.26,91.04
01-02-2023,103.26,91.04
01-03-2023,103.26,91.04
01-04-2023,103.26,91.04
01-05-2023,103.26,91.04
01-06-2023,103.26,91.04
01-07-2023,103.26,91.04
01-08-2023,103.26,91.04
01-09-2023,103.26,91.04
01-10-2023,103.26,91.04
01-11-2023,103.26,91.04
01-12-2023,103.26,91.04
01-01-2024,105.26,92.04
01-02-2024,105.26,92.04
01-03-2024,105.26,92.04
01-04-2024,105.26,92.04
01-05-2024,105.26,92.04
01-06-2024,105.26,92.04
01-07-2024,105.26,92.04
01-08-2024,105.26,92.04
01-09-2024,105.26,92.04
01-10-2024,105.26,92.04
01-11-2024,105.26,92.04
01-12-2024,105.26,92.04
01-01-2025,110.26,97.04
01-02-2025,110.26,97.04
01-03-2025,110.26,97.04
01-04-2025,110.26,97.04
01-05-2025,110.26,97.04
01-06-2025,110.26,97.04
01-07-2025,110.26,97.04
01-08-2025,110.26,97.04
01-09-2025,110.26,97.04
01-10-2025,110.26,97.04
01-11-2025,110.26,97.04
01-12-2025,110.26,97.04
01-01-2026,107.26,94.04
01-02-2026,107.26,94.04
01-03-2026,101.5,90.62
