date,avg_lpg_price
01-01-2010,353.4
01-02-2010,353.4
01-03-2010,358.4
01-04-2010,363.4
01-05-2010,368.4
01-06-2010,373.4
01-07-2010,378.4
01-08-2010,383.4
01-09-2010,388.4
01-10-2010,393.4
01-11-2010,398.4
01-12-2010,403.4
01-01-2011,413.4
01-02-2011,453.4
01-03-2011,533.4
01-04-2011,533.4
01-05-2011,563.4
01-06-2011,603.4
01-07-2011,713.4
01-08-2011,733.4
01-09-2011,733.4
01-10-2011,803.4
01-11-2011,844.9
01-12-2011,880.4
01-01-2012,880.4
01-02-2012,880.4
01-03-2012,880.4
01-04-2012,903.4
01-05-2012,903.4
01-06-2012,922.9
01-07-2012,922.9
01-08-2012,922.9
01-09-2012,922.9
01-10-2012,922.9
01-11-2012,925.4
01-12-2012,925.4
01-01-2013,925.4
01-02-2013,925.4
01-03-2013,973.4
01-04-2013,973.4
01-05-2013,973.4
01-06-2013,974.9
01-07-2013,974.9
01-08-2013,974.9
01-09-2013,1023.9
01-10-2013,1023.9
01-11-2013,1023.9
01-12-2013,1024.4
01-01-2014,1244.4
01-02-2014,1066.4
01-03-2014,1066.4
01-04-2014,1107.4
01-05-2014,1107.4
01-06-2014,1244.4
01-07-2014,1244.4
01-08-2014,1244.4
01-09-2014,1075.4
01-10-2014,1075.4
01-11-2014,903.4
01-12-2014,771.9
01-01-2015,733.4
01-02-2015,698.4
01-03-2015,648.4
01-04-2015,623.4
01-05-2015,609.4
01-06-2015,609.4
01-07-2015,609.4
01-08-2015,609.4
01-09-2015,609.4
01-10-2015,609.4
01-11-2015,609.4
01-12-2015,609.4
01-01-2016,609.4
01-02-2016,587.4
01-03-2016,562.9
01-04-2016,512.9
01-05-2016,512.9
01-06-2016,512.9
01-07-2016,523.9
01-08-2016,523.9
01-09-2016,551.9
01-10-2016,551.9
01-11-2016,551.9
01-12-2016,587.4
01-01-2017,621.4
01-02-2017,621.4
01-03-2017,652.4
01-04-2017,652.4
01-05-2017,652.4
01-06-2017,663.4
01-07-2017,663.4
01-08-2017,696.9
01-09-2017,719.9
01-10-2017,719.9
01-11-2017,739.4
01-12-2017,750.9
01-01-2018,750.9
01-02-2018,758.4
01-03-2018,772.4
01-04-2018,772.4
01-05-2018,785.4
01-06-2018,785.4
01-07-2018,812.4
01-08-2018,812.4
01-09-2018,829.4
01-10-2018,829.4
01-11-2018,812.4
01-12-2018,812.9
01-01-2019,748.4
01-02-2019,748.4
01-03-2019,738.4
01-04-2019,719.4
01-05-2019,701.9
01-06-2019,698.4
01-07-2019,640.9
01-08-2019,640.9
01-09-2019,640.9
01-10-2019,652.4
01-11-2019,698.4
01-12-2019,717.9
01-01-2020,717.9
01-02-2020,717.9
01-03-2020,717.9
01-04-2020,584.9
01-05-2020,584.9
01-06-2020,584.9
01-07-2020,597.4
01-08-2020,597.4
01-09-2020,597.4
01-10-2020,597.4
01-11-2020,597.4
01-12-2020,597.4
01-01-2021,697.4
01-02-2021,722.4
01-03-2021,812.4
01-04-2021,812.4
01-05-2021,812.4
01-06-2021,837.9
01-07-2021,837.9
01-08-2021,837.9
01-09-2021,887.9
01-10-2021,902.9
01-11-2021,902.9
01-12-2021,902.9
01-01-2022,902.9
01-02-2022,902.9
01-03-2022,952.9
01-04-2022,1002.9
01-05-2022,1002.9
01-06-2022,1006.4
01-07-2022,1006.4
01-08-2022,1006.4
01-09-2022,906.4
01-10-2022,906.4
01-11-2022,906.4
01-12-2022,906.4
01-01-2023,906.4
01-02-2023,906.4
01-03-2023,1110.9
01-04-2023,911.7
01-05-2023,911.7
01-06-2023,911.7
01-07-2023,911.7
01-08-2023,911.7
01-09-2023,911.7
01-10-2023,911.7
01-11-2023,911.7
01-12-2023,911.7
01-01-2024,911.7
01-02-2024,911.7
01-03-2024,811.7
01-04-2024,811.7
01-05-2024,811.7
01-06-2024,811.7
01-07-2024,811.7
01-08-2024,811.7
01-09-2024,811.7
01-10-2024,811.7
01-11-2024,811.7
01-12-2024,811.7
01-01-2025,811.7
01-02-2025,811.7
01-03-2025,811.7
01-04-2025,861.7
01-05-2025,861.7
01-06-2025,861.7
01-07-2025,861.7
01-08-2025,861.7
01-09-2025,861.7
01-10-2025,861.7
01-11-2025,861.7
01-12-2025,861.7
01-01-2026,861.7
01-02-2026,861.7
01-03-2026,921.7
