,date,avg_petrol,avg_diesel
0,01-01-2010,50.89,40.04
1,01-02-2010,50.35,37.31
2,01-03-2010,50.89,40.04
3,01-04-2010,50.89,40.04
4,01-05-2010,51.44,40.5
5,01-06-2010,54.37,42.24
6,01-07-2010,54.45,42.32
7,01-08-2010,54.55,39.88
8,01-09-2010,54.77,39.98
9,01-10-2010,55.47,39.89
10,01-11-2010,55.78,39.89
11,01-12-2010,59.08,39.89
12,01-01-2011,61.66,39.89
13,01-02-2011,61.66,39.89
14,01-03-2011,61.38,39.89
15,01-04-2011,61.38,39.89
16,01-05-2011,66.49,43.18
17,01-06-2011,66.79,43.38
18,01-07-2011,66.79,43.38
19,01-08-2011,70.07,47.16
20,01-09-2011,70.07,47.16
21,01-10-2011,71.95,48.18
22,01-11-2011,69.62,47.68
23,01-12-2011,68.82,47.18
24,01-01-2012,68.82,47.18
25,01-02-2012,68.82,47.18
26,01-03-2012,68.82,47.18
27,01-04-2012,68.82,47.18
28,01-05-2012,71.76,49.3
29,01-06-2012,71.76,49.3
30,01-07-2012,71.76,49.3
31,01-08-2012,71.76,49.3
32,01-09-2012,71.76,49.3
33,01-10-2012,71.76,49.3
34,01-11-2012,71.76,49.3
35,01-12-2012,71.76,49.3
36,01-01-2013,71.76,49.3
37,01-02-2013,71.76,49.3
38,01-03-2013,69.26,50.23
39,01-04-2013,69.26,50.23
40,01-05-2013,69.26,50.23
41,01-06-2013,69.26,50.23
42,01-07-2013,69.26,50.23
43,01-08-2013,69.26,50.23
44,01-09-2013,69.26,50.23
45,01-10-2013,69.26,50.23
46,01-11-2013,69.26,50.23
47,01-12-2013,69.26,50.23
48,01-01-2014,69.79,61.73
49,01-02-2014,69.79,61.73
50,01-03-2014,69.79,61.73
51,01-04-2014,69.79,61.73
52,01-05-2014,74.74,61.73
53,01-06-2014,74.74,61.73
54,01-07-2014,74.74,61.73
55,01-08-2014,74.74,61.73
56,01-09-2014,75.75,58.26
57,01-10-2014,75.75,55.81
58,01-11-2014,75.75,55.81
59,01-12-2014,75.75,55.81
60,01-01-2015,75.75,55.81
61,01-02-2015,75.75,55.81
62,01-03-2015,63.76,50.84
63,01-04-2015,63.76,50.84
64,01-05-2015,63.76,50.84
65,01-06-2015,63.76,50.84
66,01-07-2015,63.76,50.84
67,01-08-2015,63.76,50.84
68,01-09-2015,63.76,50.84
69,01-10-2015,63.76,50.84
70,01-11-2015,63.76,50.84
71,01-12-2015,63.76,50.84
72,01-01-2016,63.76,50.84
73,01-02-2016,63.76,50.84
74,01-03-2016,67.74,53.34
75,01-04-2016,67.74,53.34
76,01-05-2016,67.74,53.34
77,01-06-2016,67.74,53.34
78,01-07-2016,67.74,53.34
79,01-08-2016,67.74,53.34
80,01-09-2016,67.74,53.34
81,01-10-2016,67.74,53.34
82,01-11-2016,67.74,53.34
83,01-12-2016,67.74,53.34
84,01-01-2017,73.66,57.34
85,01-02-2017,73.66,57.34
86,01-03-2017,73.66,57.34
87,01-04-2017,73.66,57.34
88,01-05-2017,73.66,57.34
89,01-06-2017,73.66,57.34
90,01-07-2017,73.66,57.34
91,01-08-2017,73.66,57.34
92,01-09-2017,73.66,57.34
93,01-10-2017,73.66,57.34
94,01-11-2017,73.66,57.34
95,01-12-2017,73.66,57.34
96,01-01-2018,77.7,64.09
97,01-02-2018,77.7,64.09
98,01-03-2018,77.7,64.09
99,01-04-2018,77.7,64.09
100,01-05-2018,81.7,67.3
101,01-06-2018,81.7,67.3
102,01-07-2018,81.7,67.3
103,01-08-2018,81.7,67.3
104,01-09-2018,86.11,72.0
105,01-10-2018,82.1,69.0
106,01-11-2018,80.94,68.0
107,01-12-2018,80.94,68.0
108,01-01-2019,77.63,66.3
109,01-02-2019,77.63,66.3
110,01-03-2019,77.63,66.3
111,01-04-2019,77.63,66.3
112,01-05-2019,77.63,66.3
113,01-06-2019,77.63,66.3
114,01-07-2019,77.63,66.3
115,01-08-2019,77.63,66.3
116,01-09-2019,77.63,66.3
117,01-10-2019,77.63,66.3
118,01-11-2019,77.63,66.3
119,01-12-2019,77.63,66.3
120,01-01-2020,77.63,66.3
121,01-02-2020,77.63,66.3
122,01-03-2020,72.0,63.96
123,01-04-2020,72.0,63.96
124,01-05-2020,72.0,63.96
125,01-06-2020,84.55,72.04
126,01-07-2020,84.55,72.04
127,01-08-2020,84.55,72.04
128,01-09-2020,84.55,72.04
